ts,open,high,low,close,volume,vol_ccy,vol_ccy_quote,confirm
2025-05-04 20:50:00,95703.0,95703.0,95702.9,95702.9,4.4933025,430022.519114382,430022.519114382,1
2025-05-04 20:51:00,95702.9,95703.0,95702.9,95702.9,0.28020426,26816.362078401,26816.362078401,1
2025-05-04 20:52:00,95703.0,95703.0,95702.9,95703.0,1.67975192,160757.288564634,160757.288564634,1
2025-05-04 20:53:00,95702.9,95703.0,95702.9,95703.0,0.37306898,35703.801192707,35703.801192707,1
2025-05-04 20:54:00,95702.9,95703.0,95678.1,95678.2,1.23346557,118028.930173547,118028.930173547,1
2025-05-04 20:55:00,95678.1,95690.0,95674.0,95689.9,0.58184556,55671.286526391,55671.286526391,1
2025-05-04 20:56:00,95690.0,95690.0,95680.8,95680.8,3.84684729,368070.01019084,368070.01019084,1
2025-05-04 20:57:00,95680.9,95690.0,95680.8,95689.9,0.45699086,43726.993867441,43726.993867441,1
2025-05-04 20:58:00,95690.0,95690.0,95689.9,95689.9,0.12352123,11819.734502264,11819.734502264,1
2025-05-04 20:59:00,95689.9,95719.9,95689.9,95712.7,12.85849128,1230551.246649693,1230551.246649693,1
2025-05-04 21:00:00,95712.6,95720.0,95712.6,95720.0,0.88509234,84715.135814785,84715.135814785,1
2025-05-04 21:01:00,95720.0,95728.0,95712.1,95712.1,2.06955893,198108.869833481,198108.869833481,1
2025-05-04 21:02:00,95712.1,95724.0,95712.1,95723.9,0.23043574,22057.981649785,22057.981649785,1
2025-05-04 21:03:00,95724.0,95730.4,95723.9,95730.4,0.19086954,18271.926572175,18271.926572175,1
2025-05-04 21:04:00,95730.3,95730.4,95730.3,95730.3,0.14592729,13969.663511872,13969.663511872,1
2025-05-04 21:05:00,95730.3,95735.0,95730.3,95735.0,1.26827121,121414.780641302,121414.780641302,1
2025-05-04 21:06:00,95735.0,95735.0,95734.9,95734.9,0.24130293,23101.121519872,23101.121519872,1
2025-05-04 21:07:00,95734.9,95760.4,95692.1,95692.1,3.21367444,307671.030313481,307671.030313481,1
2025-05-04 21:08:00,95692.1,95693.9,95680.9,95680.9,1.32738893,127022.468666888,127022.468666888,1
2025-05-04 21:09:00,95680.9,95681.0,95658.6,95658.7,15.88962227,1520330.078381016,1520330.078381016,1
2025-05-04 21:10:00,95658.6,95660.1,95658.6,95660.1,0.253216,24222.491127413,24222.491127413,1
2025-05-04 21:11:00,95660.0,95660.1,95657.1,95657.1,0.44042245,42130.764825091,42130.764825091,1
2025-05-04 21:12:00,95656.1,95656.1,95656.0,95656.1,0.36742382,35146.320170996,35146.320170996,1
2025-05-04 21:13:00,95656.1,95656.1,95656.0,95656.0,1.15256176,110249.546171765,110249.546171765,1
2025-05-04 21:14:00,95656.1,95656.1,95616.7,95619.9,7.25807067,694185.271894232,694185.271894232,1
2025-05-04 21:15:00,95619.9,95623.1,95618.4,95618.4,0.31264972,29896.353564815,29896.353564815,1
2025-05-04 21:16:00,95618.1,95618.1,95618.0,95618.0,0.13067625,12495.002572935,12495.002572935,1
2025-05-04 21:17:00,95618.1,95621.7,95618.1,95621.6,0.76114438,72781.545486012,72781.545486012,1
2025-05-04 21:18:00,95621.6,95622.0,95621.6,95621.9,0.20511343,19613.30377131,19613.30377131,1
2025-05-04 21:19:00,95622.0,95661.9,95622.0,95661.9,1.59790108,152821.958079274,152821.958079274,1
2025-05-04 21:20:00,95662.0,95662.0,95661.9,95661.9,0.32571892,31158.911564818,31158.911564818,1
2025-05-04 21:21:00,95662.0,95662.0,95661.9,95662.0,0.14573259,13941.06209376,13941.06209376,1
2025-05-04 21:22:00,95661.9,95661.9,95653.2,95653.8,1.32172081,126430.215062262,126430.215062262,1
2025-05-04 21:23:00,95653.8,95660.0,95653.8,95659.9,0.04534793,4337.796356088,4337.796356088,1
2025-05-04 21:24:00,95659.9,95662.0,95659.9,95661.9,0.77768246,74394.153261861,74394.153261861,1
2025-05-04 21:25:00,95662.0,95692.0,95662.0,95680.0,8.79152382,841065.089093814,841065.089093814,1
2025-05-04 21:26:00,95679.9,95685.3,95679.9,95685.2,0.24004592,22967.979418049,22967.979418049,1
2025-05-04 21:27:00,95685.2,95685.3,95685.2,95685.3,0.2423796,23192.154793824,23192.154793824,1
2025-05-04 21:28:00,95685.3,95685.9,95685.3,95685.3,0.49239612,47115.181501538,47115.181501538,1
2025-05-04 21:29:00,95685.3,95685.8,95685.3,95685.8,0.12075056,11554.099559305,11554.099559305,1
2025-05-04 21:30:00,95685.8,95717.9,95685.8,95717.9,0.94378863,90313.821584082,90313.821584082,1
2025-05-04 21:31:00,95718.0,95719.2,95717.9,95719.2,0.35572781,34049.558040933,34049.558040933,1
2025-05-04 21:32:00,95719.2,95720.0,95719.2,95719.9,0.11803571,11298.305106925,11298.305106925,1
2025-05-04 21:33:00,95720.0,95720.0,95719.9,95719.9,0.05297079,5070.358873619,5070.358873619,1
2025-05-04 21:34:00,95719.9,95720.2,95719.9,95719.9,0.96341505,92218.256290339,92218.256290339,1
2025-05-04 21:35:00,95719.9,95720.0,95673.0,95678.7,2.30224826,220295.728628384,220295.728628384,1
2025-05-04 21:36:00,95678.7,95678.8,95678.7,95678.8,0.65817323,62973.175069305,62973.175069305,1
2025-05-04 21:37:00,95678.8,95713.2,95678.7,95711.0,0.92925993,88925.170427724,88925.170427724,1
2025-05-04 21:38:00,95712.5,95727.2,95712.5,95727.2,0.9801499,93823.3604689,93823.3604689,1
2025-05-04 21:39:00,95727.1,95731.2,95727.1,95729.1,0.25668889,24572.850566476,24572.850566476,1
2025-05-04 21:40:00,95729.1,95742.6,95722.3,95725.5,1.27003477,121576.404548901,121576.404548901,1
2025-05-04 21:41:00,95725.4,95737.0,95725.4,95736.9,0.19711395,18870.050837139,18870.050837139,1
2025-05-04 21:42:00,95737.7,95742.2,95737.7,95742.1,0.19777969,18935.804917823,18935.804917823,1
2025-05-04 21:43:00,95742.2,95744.3,95731.9,95739.2,1.75191546,167729.278219726,167729.278219726,1
2025-05-04 21:44:00,95739.2,95749.6,95733.8,95736.9,2.0195409,193351.251539306,193351.251539306,1
2025-05-04 21:45:00,95737.0,95737.0,95734.9,95735.0,0.06474499,6198.4800678,6198.4800678,1
